artefato,classe,estado,tarefa_responsavel,script_ou_processo,fonte,versao_base,sha256,consumo
results/prognostico/aggregated/flexible_external_metrics.csv,flexível agregada congelada,preservado,task 04 e task 05 da revisão,run_flexible_modeling.R + R/11_flexible_modeling.R,flexible_nested_internal.rds,git 40cf190,dfa4cc264395ed23fcd44e8eb7489db081881d9b9f7fb9d7036e4ba344e40eb3,baseline exploratório; não tratar como final
results/prognostico/revisao/aggregated/,saída nova,planejado,tasks 02–13,scripts de cada task + destino explícito,fonte congelada e outputs verificados das dependências,git 40cf190,não aplicável,receber somente tabelas agregadas sem IDs
results/prognostico/revisao/figures/,saída nova,planejado,tasks 07; 12–14,scripts de figuras das tasks,outputs agregados verificados e fonte congelada,git 40cf190,não aplicável,receber figuras novas; sem renderização nesta task
results/prognostico/revisao/logs/,saída nova,em uso,tasks 01–15,logs de execução de cada task,comandos e ambiente de cada task,git 40cf190,não aplicável,manifestos e evidências auditáveis
results/prognostico/revisao/reduced_objects/,saída nova,planejado,tasks 04–10,script da task com saveRDS reduzido explícito,objetos corrigidos sem registros individuais compartilháveis,git 40cf190,não aplicável,objetos internos; não publicar no HTML
.plan/tasks-revisao/entregas/01_inventario.md,evidência nova,produzido,task 01,execução desta task,índice + parecer + plano original + estado Git,git 40cf190,323a623ced1e5f93dd935a4b49186b377f7d9293433b68abb8dbfe8eea3f9b21,consumir antes da task 02
.plan/tasks-revisao/entregas/01_execucao.md,evidência nova,produzido,task 01,execução desta task,comandos e verificações desta task,git 40cf190,09a40e12d5d4bd3aceced3af0ddeddefb287aaaf8e96623cb2769d4e8a7c4033,passagem e limitações
results/prognostico/revisao/logs/ambiente_inicial.txt,evidência nova,produzido,task 01,consulta R/Quarto/pacotes/configuração,ambiente local e R/00_config.R,git 40cf190,954b0e185bb25d392e63ce65f30ab57a225d550db9dfe29e0164ab1d89b9a73c,referência de ambiente
results/prognostico/revisao/logs/manifesto_inicial.csv,manifesto novo,produzido,task 01,execução desta task,índice + baseline + saídas planejadas,git 40cf190,auto-descrito; não aplicável,registro central de rastreabilidade
".plan/tasks-revisao/entregas/02_definicoes_clinicas.md","evidência nova","produzido","task 02","síntese clínica e operacional","índice + parecer + plano original + código + dicionário da fonte","git f831c99 + task 02","63c0d4a0df5d9954ae021eb24906ca90ae083a48256b86b42b0a1665c0e933e2","consumir nas tasks 03, 10, 11, 13 e 15"
".plan/tasks-revisao/entregas/02_matriz_evidencias.md","evidência nova","produzido","task 02","consulta dirigida e matriz afirmação-fonte","fontes clínicas/metodológicas indicadas no parecer + documentos locais","git f831c99 + consulta em 2026-09-07","e1ff5a405b103c680443866cc0f5b1ec209f23f81c51a32f834cc4c97dd5c24d","consumir nas tasks 03, 11, 13 e 15; task 03 formaliza BibTeX"
".plan/tasks-revisao/entregas/02_execucao.md","evidência nova","produzido","task 02","registro de comandos, verificações e limitações","execução local da task 02","git f831c99 + task 02","770f8410700d2f3d5f7144805a9f85f0a5afe5fbac6e40ce46cbae9ac5d68bf4","passagem e auditoria das evidências da task 02"
"results/prognostico/revisao/aggregated/dicionario_preditores.csv","saída agregada nova","produzido","task 02","consolidação documental e verificação contra código","aba dicionario da fonte + R/02_import_prepare.R + R/07_frozen_models.R","git f831c99 + task 02","2bdeec2ba47a9749876f167502527a0bb050caf3c878960a2bebe7e3669cde66","dez preditores, 19 parâmetros, sem IDs; consumir nas tasks 03, 11, 13 e 15"
"references_prognostico.bib","bibliografia nova","produzido","task 03","conferência dirigida de metadados e DOI","fontes editoriais, oficiais e PubMed","git 6205ac2 + consulta em 2026-09-07","7d1b78ee8aca8626397930347b8efe435c379ad9a5a982aa4dd0a7db33f13dcf","integrar no QMD apenas na task 13; 14 chaves únicas"
".plan/tasks-revisao/entregas/03_mapa_citacoes.md","evidência nova","produzido","task 03","mapeamento seção-afirmação-fonte","bibliografia da task 03 e matriz da task 02","git 6205ac2 + task 03","063e1176c6c6e7c544df1cb05a25a0a065079b85b12062c039797eee7c837d3b","usar para citações metodológicas e clínicas; não substitui evidência local"
".plan/tasks-revisao/entregas/03_fontes_checklists.md","evidência nova","produzido","task 03","consulta de instrumentos oficiais","TRIPOD+AI BMJ 2024 e PROBAST+AI BMJ 2025","git 6205ac2 + task 03","6b974d05728c953deeb334048ed6bce29d9cf01b0473b02466c5c1ff2376219b","task 13 preenche localização/evidência; task 15 audita, sem alegar conformidade antecipada"
".plan/tasks-revisao/entregas/03_execucao.md","evidência nova","produzido","task 03","registro de comandos e verificações","execução local e consultas bibliográficas","git 6205ac2 + task 03","1d8abe9ae2e229e6271deb5d0716e4f653bd29fa271035316c0647922972a821","passagem, limitações de cliente HTTP/Quarto e auditoria"
"R/11_flexible_modeling.R","código analítico corrigido","produzido","task 04","IRLS e coordenadas com objetivo médio, KKT e falhas explícitas","implementação flexível histórica + parecer + friedman2010_glmnet","git a9f565f + task 04","48e506c5d37440fafe5b374888af8ed5c5d3c81ef146651d98249fe6f9aa1850","consumir na task 05; não altera lm/glm principais"
"scripts/review_check_flexible_objective.R","script de verificação novo","produzido","task 04","comparação ridge com optim e matriz sintética KKT","R/11_flexible_modeling.R corrigido; dados sintéticos","git a9f565f + task 04","53a80846babd025646710d32f30746cf8f901ce337b80df2f14247770881d316","reproduz solver_verificacao.csv sem acessar a coorte"
"scripts/run_flexible_modeling.R","script analítico preparado","produzido","task 04","reexecução com output_dirs explícito","coorte vigente + R/11_flexible_modeling.R corrigido","git a9f565f + task 04","15fba7151699e219dfd34e0f42273c1d875c42dac329f0ea80d3397b561f1863","executar somente na task 05; grava na árvore revisao"
"tests/test_review_flexible_objective.R","teste numérico novo","produzido","task 04","referência optim, KKT, intercepto, escala, predição e falha","dados sintéticos em múltiplas sementes","git a9f565f + task 04","cf7ed3e42fda858cc5e199b33358ca5dc0cb96447bbaadb36b7376dad15faf04","teste de regressão independente do solver"
"tests/test_task09.R","teste histórico corrigido","produzido","task 04","substituição de condição tautológica por regra one-SE","fluxo sintético da task 09 antiga","git a9f565f + task 04","5a800918ccedf4c2f4db13ef63e90d7bbb317570fbf3e75769b8b02a7c9be7fa","regressão do caminho flexível"
"tests/run_tests.R","suíte atualizada","produzido","task 04","inclusão do teste numérico do solver","testes locais 05, 07, 08, 09, 10 e task 04","git a9f565f + task 04","b4c2becaf672a7e76758e435004f6ff16e0cb1befdbe1cd378921e2dac3dfd61","executar como regressão integral"
"results/prognostico/revisao/logs/solver_verificacao.csv","log sintético novo","produzido","task 04","30 cenários de objetivo, referência, KKT e falha","scripts/review_check_flexible_objective.R; sem dados clínicos","git a9f565f + task 04","611fa02d47953954f7f98c66e2f0f22a307cec1232dca55b6ba638f9012ca371","evidência para tasks 05, 13 e 15"
".plan/tasks-revisao/entregas/04_solver.md","evidência nova","produzido","task 04","derivação, tolerâncias, resultados e passagem","código, testes e solver_verificacao.csv","git a9f565f + task 04","cf28bce60a042914dd21d3900f3942637e984194706cc23d42fd72b183282c29","consumir antes da task 05"
".plan/tasks-revisao/entregas/04_execucao.md","evidência nova","produzido","task 04","registro de comandos, verificações, arquivos e limitações","execução local da task 04","git a9f565f + task 04","3e2202ade75ec2ac0e5e85433ec9f9e4498810170c623e843ea0f9cbf91b0ffe","passagem e auditoria da task 04"
"R/11_flexible_modeling.R","código analítico ampliado","produzido","task 05","reamostragem, comparações pareadas, hierarquia ativa, falhas e especificação","solver corrigido da task 04 + coorte vigente","git 3edf4cb + task 05","f0c15304e770c3f5d30dce967b12cd761027478f2179bf19d9162674ad4d3c59","reproduzir saídas flexíveis corrigidas"
"scripts/run_flexible_modeling.R","script analítico executado","produzido","task 05","CV aninhada corrigida e comparação antes/depois","coorte vigente + baseline flexível preservado","git 3edf4cb + task 05","c65b8c993ddd9df5c381cd1e204b863c76207313dcd1ca6a63e5cd1a68dd0bc3","executor canônico das saídas da task 05"
"tests/test_review_flexible_reexecution.R","teste de revisão novo","produzido","task 05","auditoria de folds, KKT, hierarquia, pareamento e entregáveis","objetos e agregados flexíveis da revisão","git 3edf4cb + task 05","8086621bbe6340d6496c6cbe7155289cab3c5bed476345b56db36a9482ce0908","regressão da reexecução flexível"
"results/prognostico/revisao/aggregated/flexible_external_metrics.csv","resultado analítico corrigido","produzido","task 05","métricas externas por fold, repetição e agregado","CV aninhada com solver corrigido","git 3edf4cb + task 05","034838d5015916e18b154af2c9049bee24260d68a6c1001ae852ca468d9df796","tasks 12 e 13; não usar baseline logístico antigo"
"results/prognostico/revisao/aggregated/flexible_frozen_comparison_summary.csv","resultado comparativo novo","produzido","task 05","diferenças direcionais pareadas por repetição","flexível e congelado nas mesmas observações externas","git 3edf4cb + task 05","575710e427211efd8ffdd5a4fd3962cc3623387aae004c13ab8cb0153c9c1727","tasks 12 e 13; DP entre repetições não é IC"
"results/prognostico/revisao/aggregated/flexible_solver_before_after_metrics.csv","evidência de correção nova","produzido","task 05","impacto pareado do solver corrigido","objetos anterior e corrigido com índices idênticos","git 3edf4cb + task 05","c36540fd7ec6901da7b750197616272bb27dab1410f63de27e17392b410d876b","tasks 13 e 15; baseline somente para comparação"
"results/prognostico/revisao/aggregated/flexible_methodological_appendix.md","texto metodológico novo","produzido","task 05","procedimento, grade, falhas, hierarquia, resultados e limites","tabelas e objetos corrigidos da task 05","git 3edf4cb + task 05","a2efcdf47f04e72e8d03f77a10109efc5c5ae6bf5ea8390c9c6211a612c3e6d3","task 13 integra e task 15 audita"
"results/prognostico/revisao/reduced_objects/flexible_nested_internal.rds","objeto reduzido corrigido","produzido","task 05","índices, previsões internas sem ID clínico, tuning e auditorias","CV aninhada corrigida; fonte vigente","git 3edf4cb + task 05","770777f8f6a501c3b99c8906b661634528e6646a9fbdb21c839c15912d314433","fonte interna para tasks 12, 13 e auditoria"
"results/prognostico/revisao/reduced_objects/flexible_solver_before_after.rds","objeto reduzido comparativo","produzido","task 05","métricas agregadas antes/depois nos mesmos índices","baseline preservado + objeto corrigido","git 3edf4cb + task 05","7965f97641bb8389e1db2c539e952b0bd3d4a42f130d84d81343cc4ae74c4498","auditoria interna do impacto do solver"
"results/prognostico/revisao/logs/flexible_reexecution.log","log analítico novo","produzido","task 05","configuração, KKT, folds, falhas e hierarquia","scripts/run_flexible_modeling.R","git 3edf4cb + task 05","ef451f2394924bc800e01b617a232ec4e27dca05ec584cb9ccfa5fc55c7f594b","evidência de execução para tasks 13 a 15"
".plan/tasks-revisao/entregas/05_flexivel.md","evidência nova","produzido","task 05","síntese de resultados, interpretação e passagem","saídas flexíveis corrigidas","git 3edf4cb + task 05","eec6a6b39f694c0c729aec08070c7cb176a3758f7ba0a6f2b2d136bbb837588f","tasks 12 e 13"
".plan/tasks-revisao/entregas/05_execucao.md","evidência nova","produzido","task 05","comandos, verificações, arquivos e limitações","execução local integral da task 05","git 3edf4cb + task 05","4ebc06f4513cbdac952ff58710c576aee6859a7aa60a27724375df6f5e0dd846","passagem e auditoria da task 05"
"R/10_cart_nested.R","código analítico corrigido","produzido","task 06","extração primária/concorrente/substituta, regras e estabilidade","objetos rpart reconstruídos com folds e parâmetros salvos","task 06","88698f643eafbc9a55b734999182fe8793c65967616741729092a6e57e2e5dab","fonte canônica da extração CART"
"scripts/review_cart_structure.R","script de reconstrução novo","produzido","task 06","reajuste sem retuning e geração das saídas estruturais","coorte vigente + cart_nested_internal.rds congelado","task 06","c497ab7798f693270e184ac1209df1af0aeb8df3c832384f34ba8b8db829f035","reproduz as 50 árvores e a árvore ilustrativa"
"tests/test_review_cart_structure.R","teste estrutural novo","produzido","task 06","fatores, csplit, ausência de split, concorrentes, substitutos, escopos e denominadores","dados sintéticos + métricas CART congeladas","task 06","57e436fa944be8da565ca8da15358b21c24d50aa1ad89d5c8804502fbad605cd","regressão independente da estrutura"
"tests/run_tests.R","suíte atualizada","produzido","task 06","inclusão do teste estrutural CART","suíte local integral","task 06","95529a052e00703abb0972d4256af68cad5c558203633d3a5b40bcf65cb3b718","suíte integral aprovada"
"references_prognostico.bib","bibliografia ampliada","produzido","task 06","documentação oficial de rpart.object","R Project for Statistical Computing","task 06","e5c018a5adc76bbdfba1254b6eb7c3f934cdb7079a22b8cfa9ba72c7cb87a839","fonte da estrutura interna"
"results/prognostico/revisao/aggregated/cart_output_manifest.csv","manifesto de resultados novo","produzido","task 06","hash e finalidade das 15 saídas cart analíticas","scripts/review_cart_structure.R","task 06","60548fc91d56672cd093685426423c5d021372dd7cd7f2e9304b8ca05dcc7fe5","tasks 07, 12, 13 e 15"
"results/prognostico/revisao/logs/cart_structure_rebuild.log","log analítico novo","produzido","task 06","versões, hashes, contagens e verificações","scripts/review_cart_structure.R","task 06","e952817b017567a122ee6160417c81e00f5d6c0efa9c1eac146b9df298ba1cca","evidência de reconstrução sem retuning"
".plan/tasks-revisao/entregas/06_cart_estrutura.md","evidência nova","produzido","task 06","síntese estrutural, calibração, visualização e passagem","saídas CART corrigidas","task 06","593457c241f735fecae11996f807ec1cde48436975678276e809431893647f2a","tasks 07, 12 e 13"
".plan/tasks-revisao/entregas/06_execucao.md","evidência nova","produzido","task 06","comandos, arquivos, verificações e limitações","execução local integral da task 06","task 06","97bba381fc149c93f19ea793c8a677269098d5fcca5e32375c47b5bcf4c6351c","passagem e auditoria da task 06"
"scripts/render_cart_revision.R","script de visualização novo","produzido","task 07","árvore ilustrativa e estabilidade com base em resumos CART corrigidos","agregados da task 06 + objeto reduzido apenas para conferência determinística","task 07","62c0b37b1b4a7cd2653be8f6441ecd9e4c74a378a3d1a3f56873fb9fcec7eeba","reproduz figuras e tabela sem retuning"
"results/prognostico/revisao/aggregated/cart_leaves.csv","saída agregada nova","produzido","task 07","tabela de folhas e caminhos completos em português","regras ilustrativas corrigidas da task 06","task 07","4a371d55184ec919a68dc4fb4662dd448226dfa4f47b1fd3e02dcf0b9bbf8cbb","integrar como tabela de proporções aparentes"
"results/prognostico/revisao/figures/cart_illustrative_tree.png","figura nova","produzido","task 07","árvore ilustrativa HTML","modelo ilustrativo da coorte completa e regras primárias corrigidas","task 07","269426ddde2a1f36b11771ba235cacdc2a4f37ae2bac228beb898e072fd0e448","figura aparente; não é desempenho externo"
"results/prognostico/revisao/figures/cart_illustrative_tree.svg","figura vetorial nova","produzido","task 07","árvore ilustrativa editorial","modelo ilustrativo da coorte completa e regras primárias corrigidas","task 07","9edbf9a26985e1f6624ddcfa5fdaead5484e317b1195a931ea654ff4b6bf850b","uso editorial vetorial"
"results/prognostico/revisao/figures/cart_stability.png","figura nova","produzido","task 07","frequência e corte primário HTML","resumos corrigidos das 50 árvores externas da task 06","task 07","1aa47473d78841efda47a641f6dc30aab74944f1e1aca88ed36ecc62d93c0831","estabilidade estrutural; não é desempenho externo"
"results/prognostico/revisao/figures/cart_stability.svg","figura vetorial nova","produzido","task 07","frequência e corte primário editorial","resumos corrigidos das 50 árvores externas da task 06","task 07","39d7c4dc32bc7adc90904af7ec6be67af866d661c064148b8a6fffa8b16669c9","uso editorial vetorial"
".plan/tasks-revisao/entregas/07_cart_visualizacao.md","evidência nova","produzido","task 07","legendas e blocos Quarto","saídas CART da task 07","task 07","016484cdbb76e34016e72f27c54a3efc7183fd12da7d44afa5ecf22a7d933eac","consumir na integração do relatório"
".plan/tasks-revisao/entregas/07_execucao.md","evidência nova","produzido","task 07","comandos, verificações e limitações","execução local da task 07","task 07","77822c703878d2e2976c23b15aa029b6d1198190d1f8129caeaa315e9ab87d10","passagem e auditoria"
"R/07_frozen_models.R","código analítico corrigido","produzido","task 08","inferência t coerente, HC3 e diagnósticos","modelo congelado, coorte vigente e referências metodológicas","task 08","3fc0857b1b8652146b7a184e9740773c0df334ef86a3ebcd3783ac54fb3ea1a9","executor canônico; modelos e coeficientes pontuais preservados"
"scripts/run_review_inference.R","script analítico novo","produzido","task 08","execução isolada na árvore de revisão","coorte congelada de 615 participantes + R/07_frozen_models.R","task 08","01d324d5cbe4a65ea8ecc67da61b792506abeaf08029e06eb1bb2d389f0905d3","reproduz todas as saídas diagnostics_* e HC3"
"tests/test_review_inference.R","teste numérico novo","produzido","task 08","IC t, HC3 matricial, separação sintética e invariância","dados sintéticos + baseline congelado","task 08","0229161fa6bc763b5c2f3c2c7ab4314cbe24fd8002d7b339a5c1fe4e6d135d2f","regressão independente da inferência e dos diagnósticos"
"tests/run_tests.R","suíte atualizada","produzido","task 08","inclusão do teste de inferência","suíte local integral","task 08","ee2086eeffeb22a148eaec06c83e24047f750db20b10d0245d831aa79fd4e641","suíte integral aprovada"
"references_prognostico.bib","bibliografia ampliada","produzido","task 08","referências primárias de HC3 e separação logística","MacKinnon e White 1985 + Albert e Anderson 1984","task 08","2d21fc2127acd318cc6e8f6cf637046f557ffa8b6cf8337326150f59c1af6c4d","task 13 integra as citações; White 1980 fundamenta a família robusta"
"results/prognostico/revisao/aggregated/diagnostics_output_manifest.csv","manifesto de resultados novo","produzido","task 08","hash e consumo de 19 artefatos analíticos/internos","scripts/run_review_inference.R","task 08","f8991e2940928b33e2d693e45f98081445522a3d6eed75050bb25de3c3d3ca66","tasks 09, 10, 12, 13 e 15"
"results/prognostico/revisao/logs/review_inference.log","log analítico novo","produzido","task 08","identidade, invariância, BP, HC3, GVIF, separação e versões","scripts/run_review_inference.R","task 08","2f1a72a23b710620003a95662af620aad61153119589fe6b697925301a794def","evidência de execução e auditoria"
".plan/tasks-revisao/entregas/08_pressupostos.md","evidência nova","produzido","task 08","síntese pressuposto-evidência-interpretação-ação-limite","saídas diagnostics_* verificadas","task 08","dc258c8241bf6b29a54905bd5a6e2850afb289fb495f2f58028407098cc879e9","tasks 09, 10, 12, 13 e 15"
".plan/tasks-revisao/entregas/08_execucao.md","evidência nova","produzido","task 08","comandos, arquivos, verificações e limitações","execução local integral da task 08","task 08","bcb551f48b37d83590aae80f85ef931d5d07f1917ecc1e353e06ecb093e6dad4","passagem e auditoria"
"R/04_bootstrap_stability.R","código analítico corrigido","produzido","task 09","falhas por réplica separadas de indisponibilidade por métrica","bootstrap congelado e auditoria da revisão","task 09","eb9240b475fb98e5cf9a4d91d47a084f8334136b76093a985e665ce50e024601","executor compartilhado; não sobrescreve saídas congeladas"
"R/09_shrinkage_equations.R","código analítico advertido","produzido","task 09","aviso explícito nos intervalos clássicos legados","diagnóstico de heteroscedasticidade da task 08 e auditoria da task 09","task 09","ba0d59c681176c07ef972e95328f8d16c6d6b7a2dd90d51d576894288171a317","não usar intervalos legados como finais validados"
"R/13_review_validation.R","módulo analítico novo","produzido","task 09","IC deslocado, avaliação completa do shrinkage e cobertura conformal","coorte 615 + bootstrap congelado + modelos principais","task 09","efd92b4bf1991b9d3f7f0815c31290d8f7c0a509f947d795d855b2e7f969bce4","tasks 10, 12, 13 e 15"
"scripts/run_review_validation.R","script analítico novo","produzido","task 09","execução isolada e reproduzível na árvore de revisão","R/13_review_validation.R + objetos congelados verificados","task 09","84efc1c6f4dcbfb18ebf9fecc94f64cbf675e9db524e442e48830bc1e9e73556","reproduz saídas validation_* e prediction_intervals_*"
"tests/test_review_validation.R","teste numérico novo","produzido","task 09","IC deslocado, falhas, separação treino-teste e conformal","dados sintéticos e referências independentes","task 09","73d61dea1b076733f8defc3da719256193e06a4938a439e9c4b57206cfcb915d","regressão da validade do procedimento"
"tests/run_tests.R","suíte atualizada","produzido","task 09","inclusão do teste de validação da revisão","suíte local integral","task 09","b1ac426528b509d1e8ec30b61468f44e987c9e0ba2c5550b8146c217cda4eafc","suíte integral aprovada"
"references_prognostico.bib","bibliografia ampliada","produzido","task 09","IC de desempenho corrigido e inferência conformal","Noma et al. 2021 + Lei et al. 2018","task 09","576d8ee66bbaf65eeba3e5a737a7dcba2b2382226985f9d21aede4802e2eedb6","task 13 integra as citações"
"results/prognostico/revisao/aggregated/validation_output_manifest.csv","manifesto de resultados novo","produzido","task 09","hash e consumo de 12 saídas analíticas mais objeto reduzido","scripts/run_review_validation.R","task 09","a52ee4e62d1dd20195f1ea4891eb653670f4087b5e10e84f4979ea2a5d39df37","tasks 10, 12, 13 e 15"
"results/prognostico/revisao/logs/validation_task09.log","log analítico novo","produzido","task 09","seeds, custo, denominadores, resultados e limitações","scripts/run_review_validation.R","task 09","c28608f44d0073d067aa54af5f6e45feaae30bf014894059f05ec4bb97239fbc","evidência de execução para tasks 13 a 15"
".plan/tasks-revisao/entregas/09_validacao_incerteza.md","evidência nova","produzido","task 09","protocolo anterior à execução, resultados e passagem","índice + tasks 03 e 08 + resultados da task 09","task 09","8da6500cf63decbec0cd97ac32a95478651260b60501d84533d0fb39580de95a","tasks 10, 12, 13 e 15"
".plan/tasks-revisao/entregas/09_execucao.md","evidência nova","produzido","task 09","comandos, verificações, arquivos e limitações","execução local integral da task 09","task 09","c5a6cf93a2ba7700758a130bf3e171aa8650c5872afc04fd56503dbcb9f4b402","passagem e auditoria da task 09"
"R/14_review_sensitivity.R","módulo analítico novo","produzido","task 10","sensibilidades pareadas, Cobb basal e comparadores treino-only","coorte 615 + folds da task 09 + modelos principais","task 10","d189e62b7f8f531f39387f3112e0e1ddc1126866bf7015fda0823fa833f1e4b2","tasks 12, 13 e 15"
"scripts/run_review_sensitivity.R","script analítico novo","produzido","task 10","execução isolada e reproduzível na árvore de revisão","R/14_review_sensitivity.R + saídas verificadas das tasks 08 e 09","task 10","f2ead94fec7184a06990b7b780578b96a3773884d34792cb1276e5faf4269e9d","reproduz sensitivity_* e baseline_comparisons.csv"
"tests/test_review_cobb_reparameterization.R","teste numérico novo","produzido","task 10","equivalência algébrica e comparador treino-only","dados sintéticos independentes","task 10","fe6f6b3e285bc25488e08deba8963823e66fce516ac3ec03c0eb27ce9f7168ef","regressão da parametrização Cobb"
"tests/run_tests.R","suíte atualizada","produzido","task 10","inclusão do teste Cobb da revisão","suíte local integral","task 10","ea0c6c67ffc4b4306bfe6ca3ba965dcf9a52801393f93496dab231587d9b5675","suíte integral aprovada"
"results/prognostico/revisao/aggregated/sensitivity_output_manifest.csv","manifesto de resultados novo","produzido","task 10","hash e consumo de 18 CSVs analíticos mais objeto reduzido","scripts/run_review_sensitivity.R","task 10","64768b633c51b71f3ba0d8c8e913c1cb8499cd89024bf129a13180069474caac","tasks 12, 13 e 15"
"results/prognostico/revisao/logs/sensitivity_task10.log","log analítico novo","produzido","task 10","seed, denominadores, comparadores, warnings e limitações","scripts/run_review_sensitivity.R","task 10","5f5d0d9ab0378e070ad9401f8ecfd6342dd9cfac82e399952bce3cf8fc57aabd","evidência para tasks 12, 13 e 15"
".plan/tasks-revisao/entregas/10_sensibilidades.md","evidência nova","produzido","task 10","resultados, interpretação e passagem","índice + tasks 02, 03, 08 e 09 + resultados da task 10","task 10","882f7a731b25f1a4e1c9370514095d5ea26f4229588960faaa870ac17528273f","tasks 12, 13 e 15"
".plan/tasks-revisao/entregas/10_execucao.md","evidência nova","produzido","task 10","comandos, verificações, arquivos e limitações","execução local integral da task 10","task 10","1847f8568061eea3a6e2695be38a8080b398434b258d5e726381d602b74e0e46","passagem e auditoria da task 10"
"scripts/run_review_cohort_description.R","script analítico novo","produzido","task 11","derivação e descrição agregada reprodutível","fonte congelada + R/02_import_prepare.R + cenários pmsampsize verificados","task 11","ffdb572299df4ae59cf3116e615fea7aa58da16310aba39df989a04116138cd9","reproduz CSVs descritivos sem IDs"
