component,domain,topic,response,evidence,location_qmd,source_url,source_location,response_legend
Avaliação interna,Preditores,Mensuração uniforme,NI,Codificação conhecida; protocolos e avaliadores insuficientes para garantir uniformidade clínica.,Desfechos e preditores,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Preditores,Processamento uniforme,S,R/02_import_prepare.R aplica as mesmas regras; flexível estima transformação somente no treino.,Desfechos e preditores; Modelagem flexível corrigida,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Preditores,Cegamento ao futuro,PS,Preditores obtidos na avaliação basal antes do desfecho; coleta transversal do colete confirmada.,"Pergunta, cenário e cronologia",https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Preditores,Disponibilidade basal,S,Dez preditores disponíveis na anamnese por decisão clínica registrada; não há pendência temporal do colete.,"Pergunta, cenário e cronologia",https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Desfecho,Adequação,NI,Mudança entre máximos aprovada; definição computacional reproduzida. Falta protocolo para julgar mensuração do limiar.,Desfechos e preditores,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Desfecho,Uniformidade,NI,Mesma condição radiográfica basal/final confirmada; uniformidade entre avaliadores/grupos não documentada.,Desfechos e preditores,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Desfecho,Cegamento,NI,Não se sabe o conhecimento dos preditores pelos leitores das radiografias finais.,Pendências para submissão,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Desfecho,Intervalo,NI,"Seis meses é horizonte nominal; marco exato, janela e intervalo real ausentes.","Pergunta, cenário e cronologia",https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Análise,Além do aparente,S,Bootstrap 2.000 e CV aninhada presentes; figuras aparentes rotuladas separadamente.,Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Análise,Amostra,NI,Repetições não multiplicam participantes; precisão de calibração/subgrupos incompleta.,Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Análise,Ausências,PS,Casos completos e mesmos testes nas sensibilidades; 3/618 ausentes; seleção prévia à planilha desconhecida.,Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Análise,Classes,NA,Nenhum balanceamento de classes no desenvolvimento ou teste.,Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Análise,Separação das partições,S,"Folds preservam pessoas; pré-processamento, tuning, shrinkage e intercepto estimados no treino, conforme código e auditorias.",Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Análise,Repetição das decisões,N (história); S (fixa),"A escolha histórica de desfechos/preditores não foi reamostrada. A avaliação atual cobre a especificação congelada e o tuning declarado, não toda a estratégia histórica.",Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Análise,Métricas,PS,"Erro, calibração, AUC, Brier e log loss adequados ao propósito de pesquisa; IC aproximados e indisponibilidades explícitos. Sem utilidade ou equidade demonstrada.",Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
